CookerStat, GenerateAssetRegistry=0.028506, Initialize=0.120945, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_0, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/GameInstances/WoaLGameInstance.uasset, AutoPackageBackupDelegate=9.822108, FlushAsyncLoading=0.012729, FlushStreamingFunc=0.079706, BlockTillAllRequestsFinished=0.009686, ResetLoadersForSaveUnMarkAllObjects=0.721507, TagPackageExports=1.617368, BeginCacheForCookedPlatformData=0.003599, SerializeImports=2.063222, GatherLocalizableTextData=0.640694, MarkNames=0.017434, SerializeSummary=0.016052, SerializeNames=0.076108, SerializeGatherableTextData=0.107937, BuildExportMap=0.050094, SortExportsNonSeekfree=0.157751, SortExportsSeekfreeConstructor=0.059225, SortExportsSeekfreeInner=1.258139, SortExportsSeekfree=0.004426, BuildDependencyMap=0.020757, SerializeImportMap=0.012454, SerializeExportMap=0.012457, SerializeDependencyMap=0.002488, SerializeStringAssetReferenceMap=0.002492, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.270113, SerializeExports=2.859730, SerializeBulkData=0.017989, MoveFile=3.840830, UnaccountedTime=1.439139, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_11, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=10.685309, FlushAsyncLoading=0.010796, FlushStreamingFunc=0.066422, BlockTillAllRequestsFinished=0.008024, ResetLoadersForSaveUnMarkAllObjects=0.280909, TagPackageExports=36.836910, BeginCacheForCookedPlatformData=0.004981, SerializeImports=39.783268, GatherLocalizableTextData=19.335629, MarkNames=0.098802, SerializeSummary=0.016052, SerializeNames=0.094928, SerializeGatherableTextData=0.274263, BuildExportMap=0.205357, SortExportsNonSeekfree=4.745551, SortExportsSeekfreeConstructor=0.055075, SortExportsSeekfreeInner=37.669117, SortExportsSeekfree=0.006367, BuildDependencyMap=0.210613, SerializeImportMap=0.014391, SerializeExportMap=0.128970, SerializeDependencyMap=0.030998, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.097391, SerializeExports=47.978317, SerializeBulkData=0.010516, MoveFile=4.430603, UnaccountedTime=1.342270, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_12, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=6.406926, FlushAsyncLoading=0.003323, FlushStreamingFunc=0.101846, BlockTillAllRequestsFinished=0.005811, ResetLoadersForSaveUnMarkAllObjects=0.243269, TagPackageExports=37.189224, BeginCacheForCookedPlatformData=0.004705, SerializeImports=39.895077, GatherLocalizableTextData=19.128061, MarkNames=0.087731, SerializeSummary=0.014115, SerializeNames=0.120111, SerializeGatherableTextData=0.342902, BuildExportMap=0.225283, SortExportsNonSeekfree=4.782636, SortExportsSeekfreeConstructor=0.052582, SortExportsSeekfreeInner=38.561386, SortExportsSeekfree=0.006367, BuildDependencyMap=0.196218, SerializeImportMap=0.013839, SerializeExportMap=0.126757, SerializeDependencyMap=0.030719, SerializeStringAssetReferenceMap=0.002217, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.382798, SerializeExports=49.627235, SerializeBulkData=0.008855, MoveFile=4.650898, UnaccountedTime=0.263751, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_13, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=6.504897, FlushAsyncLoading=0.003047, FlushStreamingFunc=0.060331, BlockTillAllRequestsFinished=0.005811, ResetLoadersForSaveUnMarkAllObjects=0.234690, TagPackageExports=37.364132, BeginCacheForCookedPlatformData=0.004705, SerializeImports=39.958454, GatherLocalizableTextData=19.263670, MarkNames=0.081643, SerializeSummary=0.014391, SerializeNames=0.110704, SerializeGatherableTextData=0.265684, BuildExportMap=0.218917, SortExportsNonSeekfree=4.859023, SortExportsSeekfreeConstructor=0.051752, SortExportsSeekfreeInner=37.971893, SortExportsSeekfree=0.006367, BuildDependencyMap=0.216424, SerializeImportMap=0.014391, SerializeExportMap=0.128414, SerializeDependencyMap=0.030443, SerializeStringAssetReferenceMap=0.002492, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.277909, SerializeExports=50.421253, SerializeBulkData=0.009134, MoveFile=4.467413, UnaccountedTime=1.369115, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_14, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=6.544750, FlushAsyncLoading=0.003323, FlushStreamingFunc=0.090774, BlockTillAllRequestsFinished=0.006922, ResetLoadersForSaveUnMarkAllObjects=0.258490, TagPackageExports=36.677498, BeginCacheForCookedPlatformData=0.004981, SerializeImports=40.050892, GatherLocalizableTextData=18.578421, MarkNames=0.088841, SerializeSummary=0.015497, SerializeNames=0.102952, SerializeGatherableTextData=0.304434, BuildExportMap=0.211164, SortExportsNonSeekfree=4.616033, SortExportsSeekfreeConstructor=0.053689, SortExportsSeekfreeInner=37.256752, SortExportsSeekfree=0.006091, BuildDependencyMap=0.220574, SerializeImportMap=0.015777, SerializeExportMap=0.128966, SerializeDependencyMap=0.032656, SerializeStringAssetReferenceMap=0.002492, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.298942, SerializeExports=49.111088, SerializeBulkData=0.009686, MoveFile=4.732270, UnaccountedTime=1.380742, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_15, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=6.450929, FlushAsyncLoading=0.003599, FlushStreamingFunc=0.139207, BlockTillAllRequestsFinished=0.006367, ResetLoadersForSaveUnMarkAllObjects=0.252403, TagPackageExports=37.233780, BeginCacheForCookedPlatformData=0.004981, SerializeImports=37.973274, GatherLocalizableTextData=18.974741, MarkNames=0.103228, SerializeSummary=0.014115, SerializeNames=0.106830, SerializeGatherableTextData=0.249080, BuildExportMap=0.200648, SortExportsNonSeekfree=4.887805, SortExportsSeekfreeConstructor=0.055354, SortExportsSeekfreeInner=38.679283, SortExportsSeekfree=0.006363, BuildDependencyMap=0.196498, SerializeImportMap=0.014111, SerializeExportMap=0.126481, SerializeDependencyMap=0.040960, SerializeStringAssetReferenceMap=0.003874, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.209274, SerializeExports=49.538395, SerializeBulkData=0.009134, MoveFile=4.657544, UnaccountedTime=1.430556, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_16, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=6.774734, FlushAsyncLoading=0.004984, FlushStreamingFunc=0.090774, BlockTillAllRequestsFinished=0.006918, ResetLoadersForSaveUnMarkAllObjects=0.253789, TagPackageExports=41.526005, BeginCacheForCookedPlatformData=0.005260, SerializeImports=41.419731, GatherLocalizableTextData=21.092482, MarkNames=0.093542, SerializeSummary=0.015777, SerializeNames=0.114024, SerializeGatherableTextData=0.287551, BuildExportMap=0.212271, SortExportsNonSeekfree=5.383201, SortExportsSeekfreeConstructor=0.054799, SortExportsSeekfreeInner=40.871475, SortExportsSeekfree=0.005811, BuildDependencyMap=1.095403, SerializeImportMap=0.014666, SerializeExportMap=0.138935, SerializeDependencyMap=0.031549, SerializeStringAssetReferenceMap=0.005260, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.486030, SerializeExports=52.003471, SerializeBulkData=0.010516, MoveFile=4.464365, UnaccountedTime=1.423087, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_17, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=6.508220, FlushAsyncLoading=0.004150, FlushStreamingFunc=0.116516, BlockTillAllRequestsFinished=0.006087, ResetLoadersForSaveUnMarkAllObjects=0.254896, TagPackageExports=39.264900, BeginCacheForCookedPlatformData=0.004981, SerializeImports=41.426098, GatherLocalizableTextData=20.882423, MarkNames=0.094373, SerializeSummary=0.013839, SerializeNames=0.101015, SerializeGatherableTextData=0.292256, BuildExportMap=0.213102, SortExportsNonSeekfree=5.214933, SortExportsSeekfreeConstructor=0.084411, SortExportsSeekfreeInner=42.331093, SortExportsSeekfree=0.006363, BuildDependencyMap=1.151312, SerializeImportMap=0.014115, SerializeExportMap=0.141978, SerializeDependencyMap=0.037085, SerializeStringAssetReferenceMap=0.004426, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.458634, SerializeExports=50.887032, SerializeBulkData=0.009686, MoveFile=11.302479, UnaccountedTime=1.471516, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_18, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=11.025999, FlushAsyncLoading=0.012178, FlushStreamingFunc=0.070296, BlockTillAllRequestsFinished=0.007473, ResetLoadersForSaveUnMarkAllObjects=0.293087, TagPackageExports=40.875351, BeginCacheForCookedPlatformData=0.004984, SerializeImports=40.890293, GatherLocalizableTextData=21.951813, MarkNames=0.093546, SerializeSummary=0.015773, SerializeNames=0.111811, SerializeGatherableTextData=0.288934, BuildExportMap=0.212274, SortExportsNonSeekfree=5.215485, SortExportsSeekfreeConstructor=0.055350, SortExportsSeekfreeInner=39.789909, SortExportsSeekfree=0.006091, BuildDependencyMap=1.057763, SerializeImportMap=0.015777, SerializeExportMap=0.142530, SerializeDependencyMap=0.032101, SerializeStringAssetReferenceMap=0.003323, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.406048, SerializeExports=52.797764, SerializeBulkData=0.010516, MoveFile=11.253216, UnaccountedTime=1.448546, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_19, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=7.297255, FlushAsyncLoading=0.005256, FlushStreamingFunc=0.083856, BlockTillAllRequestsFinished=0.006091, ResetLoadersForSaveUnMarkAllObjects=0.247143, TagPackageExports=40.381615, BeginCacheForCookedPlatformData=0.005260, SerializeImports=39.046261, GatherLocalizableTextData=21.108534, MarkNames=0.093266, SerializeSummary=0.016052, SerializeNames=0.101846, SerializeGatherableTextData=0.263475, BuildExportMap=0.205908, SortExportsNonSeekfree=5.398143, SortExportsSeekfreeConstructor=0.051200, SortExportsSeekfreeInner=39.028553, SortExportsSeekfree=0.006642, BuildDependencyMap=1.071326, SerializeImportMap=0.014946, SerializeExportMap=0.138380, SerializeDependencyMap=0.032660, SerializeStringAssetReferenceMap=0.002764, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.478561, SerializeExports=53.178307, SerializeBulkData=0.009961, MoveFile=4.283365, UnaccountedTime=1.362752, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_20, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/WoaLSaveGameMeta.uasset, AutoPackageBackupDelegate=10.001995, FlushAsyncLoading=0.007197, FlushStreamingFunc=0.068635, BlockTillAllRequestsFinished=0.005536, ResetLoadersForSaveUnMarkAllObjects=0.263475, TagPackageExports=0.168823, BeginCacheForCookedPlatformData=0.001937, SerializeImports=0.651762, GatherLocalizableTextData=0.128690, MarkNames=0.007473, SerializeSummary=0.010516, SerializeNames=0.047050, SerializeGatherableTextData=0.004429, BuildExportMap=0.027675, SortExportsNonSeekfree=0.011068, SortExportsSeekfreeConstructor=0.054523, SortExportsSeekfreeInner=0.283673, SortExportsSeekfree=0.002768, BuildDependencyMap=0.009410, SerializeImportMap=0.006642, SerializeExportMap=0.005256, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001386, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.182938, SerializeExports=0.380814, SerializeBulkData=0.004984, MoveFile=3.588986, UnaccountedTime=1.255371, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
