CookerStat, GenerateAssetRegistry=0.023525, Initialize=0.121497, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FCD51642432870A27CE787B07ADCCE1F__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=597, Duration=4.474886, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_59D6E2F94B7796749A8594B6125D2403__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=423, Duration=3.393039, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId07FC4C3046062C154D04B3A8CA8D58EE_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A8EDDAF34F9965B1C2EE3E931295149F__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=397, Duration=3.377821, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId4B51EC20439BC50BF29C0B93A02418DE_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D07661AD4732671D74C795A07B9CDB85__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=409, Duration=3.029659, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3504572546DBA394091003BC5136314D__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=347, Duration=2.663787, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId4B51EC20439BC50BF29C0B93A02418DE_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D6BAEB3E4CB3A99B08CCB48B061837B2__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=423, Duration=3.574040, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId07FC4C3046062C154D04B3A8CA8D58EE_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4636FE5B41A81291A4E2F1B1C6C30300__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=409, Duration=2.833437, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FB7011E5458FEEA11F0CFA95C49DC672__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=409, Duration=2.935562, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId07FC4C3046062C154D04B3A8CA8D58EE_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C52B0B234C252D78BEC0CC9B1C9F43BF__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=409, Duration=38.898750, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4C6B742844B5080EFB1DB4BF117F6CC1__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=347, Duration=2.804376, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId4B51EC20439BC50BF29C0B93A02418DE_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_854284BF426DE93BD0C5A9B456A72910__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=347, Duration=21.348484, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3CF9B1184137F75C8F77B99C4C58C834__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=409, Duration=7.844679, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E34445334F6A68927C862B92354D7A92__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=347, Duration=2.819602, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B1AA55D14F8AFFA37D0058B05897D608__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=347, Duration=3.222834, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CC70480E429FDBDAF322658B4FC82F62__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=347, Duration=2.800506, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F4D8A0D44BBF47F37C1B23B9D41999B9__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=347, Duration=2.870247, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId4B51EC20439BC50BF29C0B93A02418DE_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_992DF7B2451DF0B90F5784BE6A413E6E__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=347, Duration=5.891051, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0173B38B491889F9886B0B97F939A257__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=347, Duration=3.973678, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D09CAD744CB42C758B722DBA1017A621__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=385, Duration=3.640186, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId4B51EC20439BC50BF29C0B93A02418DE_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2D297FD44587843B36E1F487483C4733__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=347, Duration=2.916466, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId4B51EC20439BC50BF29C0B93A02418DE_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_853C905544D56E3B6FF592B85BE39D33__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=347, Duration=2.753455, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_971661454F382819C76F65A606EE4F09__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=458, Duration=1.563676, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_59F784A7445EFEC8F26D5BBA58DBD11B__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=396, Duration=23.659956, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId4B51EC20439BC50BF29C0B93A02418DE_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_989013E341F8ED1EBAB1889DF5754B90__1_0_13123_0, StartTime=2016.06.23-10.59.22, HierarchicalDDC=, DataSize=458, Duration=22.090469, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
MaterialTransactionId096987994AE4D1597F5EBB9B96248814_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ3512DA58E4F438339476B058D397B07A0_Num_SM5__0_66F45EB54557E1DEAA50C7B3CAA415AC__TBasePassVSTDistanceFieldShadowsAndLightMapPolicyHQAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSForGSVertexShadowDepth_PerspectiveCorrecttrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSTDistanceFieldShadowsAndLightMapPolicyHQSkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_NonPerspectiveCorrecttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSVertexShadowDepth_PerspectiveCorrecttrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_PerspectiveCorrecttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TShadowDepthVSForGSVertexShadowDepth_OutputDepthtrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_OnePassPointLighttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSTDistanceFieldShadowsAndLightMapPolicyHQ8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSTDistanceFieldShadowsAndLightMapPolicyHQ8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TShadowDepthVSVertexShadowDepth_OutputDepthtrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSTLightMapPolicyLQAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSTLightMapPolicyHQAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSTLightMapPolicyLQSkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSTLightMapPolicyHQSkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSTLightMapPolicyLQ8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSTLightMapPolicyHQ8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSTLightMapPolicyLQ8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSTLightMapPolicyHQ8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FEvaluateSurfelMaterialCS6258113C2EBBF117ED7778A8D1717F7C4F99C7B816742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222222222222222222222222220000440414000000140000001400000014000000_FConvertToUniformMeshVSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FConvertToUniformMeshGSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_TGPUSkinVertexFactoryfalse6A4FBF2D5FFE1532D4D5F4077DE2FE3E6913685313222222222222020000000_TGPUSkinVertexFactorytrue6A4FBF2D5FFE1532D4D5F4077DE2FE3E6913685313222222222222020000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D342242000000000648000404040404040404040404343434444434343434040404040404040404043434340404040440404040404040404040404043434344444343434340404040404040404040434343404040161010101010004242444444444444444241414143414141414131314141414443414440444444444444444141414141414141414341434141414141414141414141313144444142414444444141010100044434143414141414444444343414344444444044444444444444444444444444444444444444444444444444444444444444444444444444040101010101010101010101010101010101010101010101012104434343434441444444444444444401010101010101010101010101013014341434241414142444141303313131414444444400444444343212141414141414141414141414022341414141414141414101244343250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D0000000800000013000000100000000A0000000C00000015CD728C708DE1FDF35D64EA510FA9DC8D1968DD0000000000000000000000000000000000000000, ShaderCompilation=5724.066406, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId07FC4C3046062C154D04B3A8CA8D58EE_7, PutCachedData=, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ3__7F3FF383EF0BED74DADBC989A7CC110FF2EE0093, StartTime=2016.06.23-10.59.27, HierarchicalDDC=, DataSize=404229, Duration=4.911885, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
