CookerStat, GenerateAssetRegistry=0.022590, Initialize=0.191852, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BA5FEB7E45EB21F435488CAA741D70EB__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=458, Duration=4.251115, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_226B3FBF4354300ECB604AB1369895FC__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.692430, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_11B5E59745A56612BFE4E0AF372C20C9__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.516540, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_801C61884B014D51FFA867906EF3CAC8__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=516, Duration=2.057642, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E139C6F94A00E13A8E651AAF7F1A10F1__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=378, Duration=3.281023, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_19AF94E24F22FEE1042CD98556EA0EAA__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=390, Duration=3.523771, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F76055D84BE8F79EE25394AE5795596D__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=385, Duration=3.420167, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C0AFA3054699CC196A48778A8AA71545__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.468957, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_633680134A1DB3E0A65C0CBCFF694646__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=385, Duration=2.857566, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D6CD178043ED210A119AFAB431B0A2E1__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=2.867207, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0CC2484C4CB1B59C35F04A87B4D40CD6__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.431011, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_99FF2C14436028ED5360B29D25660CC9__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=328, Duration=3.200002, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B80E6E6C4C8B72DFEF9246B3243CAE5D__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.040984, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_47AD55924AF50691411222BA9F6BC4AC__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=473, Duration=1.540218, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6730E7CA4D6DFE36FA9D49831F4B64E2__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.800251, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BAAC3539421075BD129C388809076BB6__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.183741, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EFC9273548CB62B5C7CFF3BFEC18AABD__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=385, Duration=2.896417, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8947C91346CDD29EFA70DCAE87EB7258__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=3.958370, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1B46D82B48C16DA8F0A2EC84E4D97DEC__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=870, Duration=4.023124, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BB790A44484BE0CF720FCBA6605462B7__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=359, Duration=3.901746, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FD73DDBC458A83B25CD47D95AABEAA14__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=530, Duration=4.282132, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_09F23AC64EC96EA871469EBD3181D166__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.076825, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_00B890794FBB035AF24971B0CFE5A9DD__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=673, Duration=3.282227, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_18ACE7DC494C8B74717398B84D74E244__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=447, Duration=4.288461, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_90D7F2B44733AF4FBD603CA94A25EEAD__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.580995, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4118E8784CFDF4026633859280C4C242__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=732, Duration=3.877953, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2C94AEA446A9D3091C44C99EEEF0DDB9__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=385, Duration=3.823742, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_80AF3E0F4D052B6D6A5B5FAD5BB6E081__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=837, Duration=1.467638, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E7F3F6644CB12D8E22BE06AFE63F3EBD__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=3.755979, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F8B851A14364E90380E1C68874EF02FD__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=404, Duration=3.082246, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EDF57A764AC83B82F8CAC49BDA9B7AE4__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=803, Duration=4.039988, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9A6497484F7EC7BA1609F7AA1C64DA85__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=3.153626, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BB8F3B064A5835F32EF7A3BD7A050FE4__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.931265, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CD95266649193552F0A0769CF0365D86__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=3.158446, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_704E588D4986FD95E9BB87A884436496__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=416, Duration=3.134351, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2F11B6E94F1306CE49584DBA646C7558__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=385, Duration=3.310535, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D69E80BE4A2E3019DAAAE69692B67D53__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=328, Duration=8.883819, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_04BD736B483902E52D3A7FAF1D7D63E0__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=3.196690, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F4F865044EC9273B51A8CEADDA89002E__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.510818, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F2822E1249B4C73FBE2FCD8664424314__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=1318, Duration=3.001530, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
